file	date	bottle	nutrient_treatment	temperature_treatment	salt_treatment	replicate	magnification	dilution_factor	sample	video
%%TIMESTAMP%%_00101	%%DD%%.%%MM%%.%%YY%%	b_01					16	1	1	1
%%TIMESTAMP%%_00102	%%DD%%.%%MM%%.%%YY%%	b_01					16	1	1	2
%%TIMESTAMP%%_00103	%%DD%%.%%MM%%.%%YY%%	b_01					16	1	1	3
%%TIMESTAMP%%_00104	%%DD%%.%%MM%%.%%YY%%	b_02					16	1	1	1
%%TIMESTAMP%%_00105	%%DD%%.%%MM%%.%%YY%%	b_02					16	1	1	2
%%TIMESTAMP%%_00106	%%DD%%.%%MM%%.%%YY%%	b_02					16	1	1	3
%%TIMESTAMP%%_00107	%%DD%%.%%MM%%.%%YY%%	b_03					16	1	1	1
%%TIMESTAMP%%_00108	%%DD%%.%%MM%%.%%YY%%	b_03					16	1	1	2
%%TIMESTAMP%%_00109	%%DD%%.%%MM%%.%%YY%%	b_03					16	1	1	3
%%TIMESTAMP%%_00110	%%DD%%.%%MM%%.%%YY%%	b_04					16	1	1	1
%%TIMESTAMP%%_00111	%%DD%%.%%MM%%.%%YY%%	b_04					16	1	1	2
%%TIMESTAMP%%_00112	%%DD%%.%%MM%%.%%YY%%	b_04					16	1	1	3
%%TIMESTAMP%%_00113	%%DD%%.%%MM%%.%%YY%%	b_05					16	1	1	1
%%TIMESTAMP%%_00114	%%DD%%.%%MM%%.%%YY%%	b_05					16	1	1	2
%%TIMESTAMP%%_00115	%%DD%%.%%MM%%.%%YY%%	b_05					16	1	1	3
%%TIMESTAMP%%_00116	%%DD%%.%%MM%%.%%YY%%	b_06					16	1	1	1
%%TIMESTAMP%%_00117	%%DD%%.%%MM%%.%%YY%%	b_06					16	1	1	2
%%TIMESTAMP%%_00118	%%DD%%.%%MM%%.%%YY%%	b_06					16	1	1	3
%%TIMESTAMP%%_00119	%%DD%%.%%MM%%.%%YY%%	b_07					16	1	1	1
%%TIMESTAMP%%_00120	%%DD%%.%%MM%%.%%YY%%	b_07					16	1	1	2
%%TIMESTAMP%%_00121	%%DD%%.%%MM%%.%%YY%%	b_07					16	1	1	3
%%TIMESTAMP%%_00122	%%DD%%.%%MM%%.%%YY%%	b_08					16	1	1	1
%%TIMESTAMP%%_00123	%%DD%%.%%MM%%.%%YY%%	b_08					16	1	1	2
%%TIMESTAMP%%_00124	%%DD%%.%%MM%%.%%YY%%	b_08					16	1	1	3
%%TIMESTAMP%%_00125	%%DD%%.%%MM%%.%%YY%%	b_09					16	1	1	1
%%TIMESTAMP%%_00126	%%DD%%.%%MM%%.%%YY%%	b_09					16	1	1	2
%%TIMESTAMP%%_00127	%%DD%%.%%MM%%.%%YY%%	b_09					16	1	1	3
%%TIMESTAMP%%_00128	%%DD%%.%%MM%%.%%YY%%	b_10					16	1	1	1
%%TIMESTAMP%%_00129	%%DD%%.%%MM%%.%%YY%%	b_10					16	1	1	2
%%TIMESTAMP%%_00130	%%DD%%.%%MM%%.%%YY%%	b_10					16	1	1	3
%%TIMESTAMP%%_00131	%%DD%%.%%MM%%.%%YY%%	b_11					16	1	1	1
%%TIMESTAMP%%_00132	%%DD%%.%%MM%%.%%YY%%	b_11					16	1	1	2
%%TIMESTAMP%%_00133	%%DD%%.%%MM%%.%%YY%%	b_11					16	1	1	3
%%TIMESTAMP%%_00134	%%DD%%.%%MM%%.%%YY%%	b_12					16	1	1	1
%%TIMESTAMP%%_00135	%%DD%%.%%MM%%.%%YY%%	b_12					16	1	1	2
%%TIMESTAMP%%_00136	%%DD%%.%%MM%%.%%YY%%	b_12					16	1	1	3
%%TIMESTAMP%%_00137	%%DD%%.%%MM%%.%%YY%%	b_13					16	1	1	1
%%TIMESTAMP%%_00138	%%DD%%.%%MM%%.%%YY%%	b_13					16	1	1	2
%%TIMESTAMP%%_00139	%%DD%%.%%MM%%.%%YY%%	b_13					16	1	1	3
%%TIMESTAMP%%_00140	%%DD%%.%%MM%%.%%YY%%	b_14					16	1	1	1
%%TIMESTAMP%%_00141	%%DD%%.%%MM%%.%%YY%%	b_14					16	1	1	2
%%TIMESTAMP%%_00142	%%DD%%.%%MM%%.%%YY%%	b_14					16	1	1	3
%%TIMESTAMP%%_00143	%%DD%%.%%MM%%.%%YY%%	b_15					16	1	1	1
%%TIMESTAMP%%_00144	%%DD%%.%%MM%%.%%YY%%	b_15					16	1	1	2
%%TIMESTAMP%%_00145	%%DD%%.%%MM%%.%%YY%%	b_15					16	1	1	3
%%TIMESTAMP%%_00146	%%DD%%.%%MM%%.%%YY%%	b_16					16	1	1	1
%%TIMESTAMP%%_00147	%%DD%%.%%MM%%.%%YY%%	b_16					16	1	1	2
%%TIMESTAMP%%_00148	%%DD%%.%%MM%%.%%YY%%	b_16					16	1	1	3
%%TIMESTAMP%%_00149	%%DD%%.%%MM%%.%%YY%%	b_17					16	1	1	1
%%TIMESTAMP%%_00150	%%DD%%.%%MM%%.%%YY%%	b_17					16	1	1	2
%%TIMESTAMP%%_00151	%%DD%%.%%MM%%.%%YY%%	b_17					16	1	1	3
%%TIMESTAMP%%_00152	%%DD%%.%%MM%%.%%YY%%	b_18					16	1	1	1
%%TIMESTAMP%%_00153	%%DD%%.%%MM%%.%%YY%%	b_18					16	1	1	2
%%TIMESTAMP%%_00154	%%DD%%.%%MM%%.%%YY%%	b_18					16	1	1	3
%%TIMESTAMP%%_00155	%%DD%%.%%MM%%.%%YY%%	b_19					16	1	1	1
