timestamp,temperature,light,incubator_program,comment
20211215,18,30,def leef 18,
20211222,18,28,light28 temp18,
20211229,18,26,light26 temp18,
20220105,18,24,light24 temp18,
20220112,18,22,light22 temp18,
20220119,18,20,light20 temp18,
20220126,18,18,light18 temp18,
20220202,18,16,light16 temp18,
20220209,18,14,light14 temp18,
20220216,18,12,light12 temp18,
20220223,18,10,light10 temp18,
20220302,18,8,light8 temp18,
20220309,18,6,light6 temp18,
20220316,18,4,light4 temp18,
20220323,18,2,light2 temp18,
20220330,18,1,light0 temp18,
